Item Name,Description,Mfg Part #,Category,Rate,Item Type
HB16B,Basic Electrical Safety Circuit Renovation\CRElectrical safety service\CRPerformance and safety testing\CR6 month warranty,,Services,1316,Non Inventory
HB16C,Main Electrical Safety Circuit Renovation\CRComponent surge protection system\CRElectrical safety service\CRPerformance and safety testing\CR1 year warran,,Services,1755,Non Inventory
HB16D,Complete Electrical Safety Circuit Renovation\CRElectrical termination point safety service\CRComponent surge protection system\CRPerformance and safety,,Services,2194,Non Inventory
HB16E,Complete Electrical Safety Circuit Renovation\CRElectrical termination point safety service\CRComponent surge protection system\CRPerformance and safety,,Services,2633,Non Inventory
HB17A,Electrical Safety Circuit Rejuvenation\CRPerformance and safety testing\CR30 day warranty,,Services,1172,Non Inventory
HB17B,Basic Electrical Safety Circuit Renovation\CRElectrical safety service\CRPerformance and safety testing\CR6 month warranty,,Services,1757,Non Inventory
HB17C,Main Electrical Safety Circuit Renovation\CRComponent surge protection system\CRElectrical safety service\CRPerformance and safety testing\CR1 year warran,,Services,2343,Non Inventory
HB17D,Complete Electrical Safety Circuit Renovation\CRElectrical termination point safety service\CRComponent surge protection system\CRPerformance and safety,,Services,2929,Non Inventory
HB17E,Complete Electrical Safety Circuit Renovation\CRElectrical termination point safety service\CRComponent surge protection system\CRPerformance and safety,,Services,3515,Non Inventory
HB18A,Control Wiring and Terminal Rejuvenation\CRPerformance and safety testing\CR30 day warranty,,Services,652,Non Inventory
HB18B,Basic Control Wiring and Terminal Renovation \CRPerformance and safety testing\CR6 month warranty,,Services,978,Non Inventory
HB18C,Main Control Wiring and Terminal Renovation\CRVoltage protection system\CRUpgrade to tube shielding for control wiring\CRPerformance and safety testing\CR,,Services,1305,Non Inventory
HB18D,Complete Control Wiring and Terminal Renovation\CRVoltage protection system\CRUpgrade to tube shielding for control wiring\CRRestore system to prime cond,,Services,1631,Non Inventory
HB18E,Complete Control Wiring and Terminal Renovation\CRVoltage protection system\CRUpgrade to tube shielding for control wiring\CRRestore system to prime cond,,Services,1957,Non Inventory
HB19A,Control Wiring and Terminal Rejuvenation\CRPerformance and safety testing\CR30 day warranty,,Services,780,Non Inventory
HB19B,Basic Control Wiring and Terminal Renovation \CRPerformance and safety testing\CR6 month warranty,,Services,1170,Non Inventory
